Μαθημα,Εναρξη,Ληξη,Αιθουσα,Διδασκων,Μερα
Διοικιση Ασφαλιας,04:00:00 PM,06:00:00 PM,Αιθουσα 2,Τσωχου Α.,Δευτερα
Ηλ.Διακυβερνηση,06:00:00 PM,08:00:00 PM,Αιθουσα 2,Κουρουθανασης Π.,Δευτερα
Ηλ.Διακυβερνηση,09:00:00 AM,11:00:00 AM,Αιθουσα 2,Κουρουθανασης Π.,Τριτη
Διοικιση Ασφαλιας,11:00:00 AM,01:00:00 PM,Αιθουσα 2,Τσωχου Α.,Τριτη
Παραλληλος Πρ.,01:00:00 PM,03:00:00 PM,Εργαστηριο,Στεφανιδακης Μ.,Τριτη
Στρ. & Διοικ. ΠΣ,11:00:00 AM,01:00:00 PM,Αιθουσα 2,Πατελη Α.,Τεταρτη
Κοιν.& Σημ. Ιστος,01:00:00 PM,03:00:00 PM,Αιθουσα 2,Μυλωνας Φ.,Τεταρτη
Παραλληλος Πρ.,03:00:00 PM,05:00:00 PM,Εργαστηριο,Στεφανιδακης Μ.,Τεταρτη
Κοιν.& Σημ. Ιστος,01:00:00 PM,03:00:00 PM,Εργαστηριο,Στεφανιδακης Μ.,Πεμπτη
Στρ. & Διοικ. ΠΣ,03:00:00 PM,05:00:00 PM,Αιθουσα 1,Πατελη Α.,Πεμπτη
